Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Fuel_Price_Category
SC-10000,2025-10-16,Singapore,Los Angeles,Rail,Textiles,5930.83,197.42,2.43,5.0,Hurricane,0.865,41.39,1,Medium
SC-10001,2024-04-24,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,2.3,7.5,Storm,0.592,40.92,1,Medium
SC-10002,2024-01-26,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,1.78,5.6,Rain,0.673,11.54,0,Low
SC-10003,2024-10-08,Busan,Hamburg,Rail,Electronics,9180.55,170.66,3.2,0.8,Hurricane,0.832,53.13,1,Medium
SC-10004,2024-09-07,Busan,Singapore,Air,Perishables,2762.27,434.96,2.77,1.9,Fog,0.741,0.5,1,Medium
SC-10005,2024-08-16,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,4.06,2.2,Rain,0.869,2.16,1,High
SC-10006,2024-05-22,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,1.31,2.6,Storm,0.981,2.99,0,Low
SC-10007,2024-04-14,Busan,Antwerp,Air,Textiles,13059.55,423.93,3.32,5.7,Fog,0.558,1.25,1,Medium
SC-10008,2025-11-23,Dubai,Marseille,Air,Textiles,9216.17,91.73,3.72,5.0,Clear,0.855,0.62,1,Medium
SC-10009,2025-07-12,Los Angeles,Singapore,Rail,Electronics,10767.05,215.74,3.71,2.0,Storm,0.615,25.17,1,Medium
SC-10010,2024-03-30,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0,High
SC-10011,2025-08-27,Hamburg,Los Angeles,Air,Automotive,14563.69,353.6,3.61,1.7,Fog,0.516,1.33,1,Medium
SC-10012,2025-03-08,Singapore,Busan,Rail,Perishables,12570.42,268.14,4.26,9.8,Fog,0.568,19.6,1,High
SC-10013,2024-02-02,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,2.3,4.7,Storm,0.66,7.58,1,Medium
SC-10014,2024-01-31,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,2.86,8.7,Storm,0.671,9.4,1,Medium
SC-10015,2024-04-05,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,1.25,8.5,Hurricane,0.95,25.5,1,Low
SC-10016,2024-08-11,Los Angeles,Busan,Road,Perishables,4911.51,21.71,1.22,5.1,Clear,0.871,3.76,0,Low
SC-10017,2024-08-26,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.99,7.1,Storm,0.986,1.83,1,Low
SC-10018,2025-06-01,Busan,Rotterdam,Air,Automotive,6763.2,280.31,1.53,1.9,Fog,0.8,0.5,0,Low
SC-10019,2025-09-08,Busan,Dubai,Rail,Electronics,4722.82,429.11,2.06,6.9,Fog,0.621,7.6,0,Medium
SC-10020,2024-01-28,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0,Low
SC-10021,2025-07-28,Shanghai,Antwerp,Rail,Textiles,2522.66,218.26,1.29,8.3,Storm,0.66,6.61,1,Low
SC-10022,2024-07-22,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1,High
SC-10023,2025-10-27,Busan,Shanghai,Air,Perishables,5812.25,359.9,1.23,7.7,Hurricane,0.836,3.3,1,Low
SC-10024,2025-12-19,Dubai,Shanghai,Road,Perishables,7113.01,465.15,3.63,1.0,Clear,0.765,4.29,0,Medium
SC-10025,2025-07-12,Shanghai,Singapore,Air,Electronics,11885.05,264.27,1.7,8.8,Hurricane,0.693,6.86,1,Low
SC-10026,2025-03-05,Busan,Rotterdam,Sea,Textiles,3395.27,130.19,4.21,3.0,Fog,0.575,9.09,0,High
SC-10027,2024-08-13,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,4.15,6.5,Fog,0.511,11.18,0,High
SC-10028,2025-04-04,Shanghai,Dubai,Air,Textiles,9090.01,363.32,3.36,4.9,Storm,0.609,2.04,1,Medium
SC-10029,2025-08-26,Antwerp,Singapore,Air,Textiles,1173.53,61.53,3.42,3.7,Clear,0.554,0.5,0,Medium
