Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred
SC-10000,10/16/2025,Singapore,Los Angeles,Rail,Textiles,5930.83,197.42,2.43,5,Hurricane,0.865,41.39,1
SC-10001,4/24/2024,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,2.3,7.5,Storm,0.592,40.92,1
SC-10002,1/26/2024,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,1.78,5.6,Rain,0.673,11.54,0
SC-10003,10/8/2024,Busan,Hamburg,Rail,Electronics,9180.55,170.66,3.2,0.8,Hurricane,0.832,53.13,1
SC-10004,9/7/2024,Busan,Singapore,Air,Perishables,2762.27,434.96,2.77,1.9,Fog,0.741,0.5,1
SC-10005,8/16/2024,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,4.06,2.2,Rain,0.869,2.16,1
SC-10006,5/22/2024,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,1.31,2.6,Storm,0.981,2.99,0
SC-10007,4/14/2024,Busan,Antwerp,Air,Textiles,13059.55,423.93,3.32,5.7,Fog,0.558,1.25,1
SC-10008,11/23/2025,Dubai,Marseille,Air,Textiles,9216.17,91.73,3.72,5,Clear,0.855,0.62,1
SC-10009,7/12/2025,Los Angeles,Singapore,Rail,Electronics,10767.05,215.74,3.71,2,Storm,0.615,25.17,1
SC-10010,3/30/2024,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0
SC-10011,8/27/2025,Hamburg,Los Angeles,Air,Automotive,14563.69,353.6,3.61,1.7,Fog,0.516,1.33,1
SC-10012,3/8/2025,Singapore,Busan,Rail,Perishables,12570.42,268.14,4.26,9.8,Fog,0.568,19.6,1
SC-10013,2/2/2024,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,2.3,4.7,Storm,0.66,7.58,1
SC-10014,1/31/2024,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,2.86,8.7,Storm,0.671,9.4,1
SC-10015,4/5/2024,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,1.25,8.5,Hurricane,0.95,25.5,1
SC-10016,8/11/2024,Los Angeles,Busan,Road,Perishables,4911.51,21.71,1.22,5.1,Clear,0.871,3.76,0
SC-10017,8/26/2024,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.99,7.1,Storm,0.986,1.83,1
SC-10018,6/1/2025,Busan,Rotterdam,Air,Automotive,6763.2,280.31,1.53,1.9,Fog,0.8,0.5,0
SC-10019,9/8/2025,Busan,Dubai,Rail,Electronics,4722.82,429.11,2.06,6.9,Fog,0.621,7.6,0
SC-10020,1/28/2024,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0
SC-10021,7/28/2025,Shanghai,Antwerp,Rail,Textiles,2522.66,218.26,1.29,8.3,Storm,0.66,6.61,1
SC-10022,7/22/2024,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1
SC-10023,10/27/2025,Busan,Shanghai,Air,Perishables,5812.25,359.9,1.23,7.7,Hurricane,0.836,3.3,1
SC-10024,12/19/2025,Dubai,Shanghai,Road,Perishables,7113.01,465.15,3.63,1,Clear,0.765,4.29,0
SC-10025,7/12/2025,Shanghai,Singapore,Air,Electronics,11885.05,264.27,1.7,8.8,Hurricane,0.693,6.86,1
SC-10026,3/5/2025,Busan,Rotterdam,Sea,Textiles,3395.27,130.19,4.21,3,Fog,0.575,9.09,0
SC-10027,8/13/2024,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,4.15,6.5,Fog,0.511,11.18,0
SC-10028,4/4/2025,Shanghai,Dubai,Air,Textiles,9090.01,363.32,3.36,4.9,Storm,0.609,2.04,1
SC-10029,8/26/2025,Antwerp,Singapore,Air,Textiles,1173.53,61.53,3.42,3.7,Clear,0.554,0.5,0
SC-10030,10/11/2024,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,1.22,6.5,Storm,0.893,25.79,0
SC-10031,1/7/2024,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1
SC-10032,6/12/2024,Singapore,Dubai,Road,Perishables,1443.25,282.64,4.1,0.4,Storm,0.862,2.5,1
SC-10033,12/15/2025,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,4.15,9.2,Rain,0.693,16.61,1
SC-10034,3/8/2025,Hamburg,Singapore,Air,Textiles,14501.66,83.96,3.38,6.1,Rain,0.537,1.62,0
SC-10035,12/14/2024,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,2.34,8.1,Fog,0.906,15.57,0
SC-10036,10/11/2024,Busan,Marseille,Road,Textiles,4916.9,308.98,4.15,3.8,Hurricane,0.79,27.96,1
SC-10037,6/8/2024,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,2.16,4.7,Storm,0.618,5.17,1
SC-10038,8/8/2024,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1
SC-10039,12/10/2024,Singapore,Busan,Rail,Perishables,6882.21,461.38,1.53,4.1,Storm,0.523,17.32,1
SC-10040,4/14/2024,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,4.24,5.3,Fog,0.601,0.5,1
SC-10041,4/4/2024,Busan,Antwerp,Rail,Electronics,7680.07,296.27,1.66,0.2,Storm,0.876,15.87,1
SC-10042,1/24/2025,Dubai,Los Angeles,Sea,Textiles,998.63,96.82,1.94,1.6,Fog,0.855,2.84,0
SC-10043,4/9/2024,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,3.04,6.4,Fog,0.645,18.12,0
SC-10044,1/2/2025,Dubai,Rotterdam,Sea,Textiles,4252.31,312.07,3.72,7.2,Storm,0.531,25.25,1
SC-10045,12/18/2024,Busan,Los Angeles,Road,Textiles,10106.57,301.63,3.24,5.8,Rain,0.929,9.76,1
SC-10046,9/10/2025,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,1.97,1.4,Storm,0.657,8.72,1
SC-10047,9/27/2024,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,1.2,4.5,Rain,0.598,16.27,1
SC-10048,2/14/2024,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,3.7,3.6,Hurricane,0.758,110.18,1
SC-10049,4/15/2025,Singapore,Los Angeles,Air,Perishables,3180.39,260.14,4.45,5,Hurricane,0.955,1.85,1
SC-10050,7/3/2025,Dubai,Antwerp,Rail,Pharmaceuticals,14558.98,99.58,3.87,8.7,Fog,0.522,21.27,0
SC-10051,5/7/2024,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,2.72,7.8,Rain,0.883,11.65,0
SC-10052,1/22/2025,Hamburg,Busan,Road,Perishables,14122.73,93.7,4.18,0.8,Hurricane,0.786,70.01,1
SC-10053,3/21/2024,Dubai,Shanghai,Rail,Textiles,13475,43.4,2.55,8.9,Hurricane,0.713,107.82,1
SC-10054,7/19/2025,Shanghai,Rotterdam,Road,Automotive,9169.55,218.69,2.93,4.7,Storm,0.872,19.8,1
SC-10055,10/27/2024,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,2.77,7.4,Rain,0.983,1.65,1
SC-10056,10/5/2025,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,2.68,1.4,Rain,0.615,0.74,0
SC-10057,9/25/2025,Busan,Los Angeles,Sea,Textiles,3341.75,139.1,3.76,6.7,Storm,0.572,18.83,0
SC-10058,1/5/2025,Rotterdam,Shanghai,Road,Textiles,1155.8,279.53,2.94,2.4,Rain,0.956,1.32,0
SC-10059,8/14/2025,Antwerp,Rotterdam,Road,Textiles,5217.29,174.15,2.25,4.4,Fog,0.834,5.57,0
SC-10060,7/15/2024,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,2.05,0.2,Fog,0.719,12.92,0
SC-10061,12/22/2025,Hamburg,Singapore,Road,Perishables,4434.56,461.4,1.32,1.5,Hurricane,0.787,23.3,1
SC-10062,3/12/2024,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,3.12,0.9,Rain,0.873,9,0
SC-10063,2/16/2024,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,1.96,2.4,Storm,0.887,11.04,0
SC-10064,11/8/2025,Shanghai,Rotterdam,Rail,Textiles,4573.55,368.83,1.69,1,Clear,0.96,3.09,0
SC-10065,8/21/2024,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,3.36,6.9,Storm,0.713,47.52,1
SC-10066,10/23/2024,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,3.45,0.3,Fog,0.647,0.85,0
SC-10067,3/22/2024,Busan,Los Angeles,Air,Automotive,12131.86,168.83,3.68,6.2,Clear,0.82,0.5,0
SC-10068,8/26/2024,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,2.86,1.4,Rain,0.708,3.32,1
SC-10069,4/13/2024,Dubai,Singapore,Rail,Electronics,14809.86,6.99,4.15,9.5,Fog,0.797,23.13,0
SC-10070,1/24/2025,Shanghai,Antwerp,Sea,Textiles,11697.55,276.85,4.29,9.3,Fog,0.71,36.52,1
SC-10071,10/11/2024,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,3.86,2.3,Rain,0.576,6.46,0
SC-10072,4/9/2025,Singapore,Hamburg,Sea,Textiles,580.07,243.02,3.3,6.1,Hurricane,0.735,8.4,1
SC-10073,10/12/2025,Shanghai,Los Angeles,Rail,Perishables,12324.19,43.62,2.2,0.3,Rain,0.845,10.99,0
SC-10074,1/8/2025,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,4.44,9.3,Storm,0.9,66.01,1
SC-10075,6/15/2024,Busan,Dubai,Rail,Automotive,11070.6,259.49,2.1,5.2,Storm,0.747,30.22,1
SC-10076,1/14/2025,Rotterdam,Antwerp,Air,Pharmaceuticals,11683.42,307.48,1.87,0.4,Rain,0.583,1.23,0
SC-10077,12/29/2024,Busan,Marseille,Sea,Electronics,1573.65,119.07,2.66,3.4,Storm,0.707,7.76,1
SC-10078,8/2/2024,Singapore,Marseille,Road,Electronics,5697.75,242.27,1.39,0.8,Fog,0.893,4.7,0
SC-10079,11/17/2025,Singapore,Antwerp,Air,Pharmaceuticals,2180.1,215.15,4.43,3.9,Hurricane,0.706,0.8,1
SC-10080,9/30/2024,Antwerp,Singapore,Sea,Perishables,13015,38.37,3.14,6.7,Storm,0.848,71.68,1
SC-10081,12/19/2025,Busan,Hamburg,Sea,Pharmaceuticals,9537.82,53.97,3.04,4.7,Hurricane,0.754,130.77,1
SC-10082,11/30/2025,Rotterdam,Shanghai,Sea,Perishables,5298.02,418.9,3.36,3.8,Fog,0.621,13.62,1
SC-10083,10/25/2025,Rotterdam,Hamburg,Sea,Electronics,1421.6,120.67,2.84,1.2,Rain,0.898,2.51,0
SC-10084,3/14/2024,Rotterdam,Dubai,Rail,Perishables,5009.24,98.28,1.31,2.4,Hurricane,0.542,31.75,1
SC-10085,9/15/2025,Shanghai,Hamburg,Rail,Perishables,5215.16,252.95,3.22,1,Clear,0.762,3.97,1
SC-10086,10/12/2025,Antwerp,Dubai,Rail,Automotive,11079.29,384.6,3.56,8.1,Fog,0.604,16,0
SC-10087,6/24/2024,Dubai,Antwerp,Road,Textiles,9744.58,31.91,2.58,1.4,Clear,0.534,6.24,0
SC-10088,6/30/2025,Antwerp,Los Angeles,Air,Textiles,13364.58,288.83,3.7,6,Fog,0.751,1.59,1
SC-10089,9/7/2024,Antwerp,Dubai,Air,Electronics,7347.12,60.49,1.95,3.4,Hurricane,0.75,3.66,1
SC-10090,6/16/2024,Los Angeles,Singapore,Air,Electronics,2234.12,19.19,1.93,2.3,Rain,0.853,0.5,1
SC-10091,4/18/2025,Hamburg,Rotterdam,Rail,Textiles,10842.05,27.32,1.73,6.4,Storm,0.872,29.43,1
SC-10092,1/23/2025,Antwerp,Singapore,Rail,Pharmaceuticals,11531.38,417.25,2.43,4.6,Hurricane,0.864,78.49,1
SC-10093,10/3/2024,Dubai,Singapore,Air,Automotive,8638.52,59.87,4,4,Fog,0.705,1.94,1
SC-10094,10/17/2025,Hamburg,Singapore,Air,Textiles,11679.02,23.53,3.93,5.9,Hurricane,0.816,6.92,1
SC-10095,12/5/2025,Busan,Dubai,Sea,Automotive,7660.04,219.51,2.46,4.9,Rain,0.788,15.17,1
SC-10096,7/24/2025,Rotterdam,Los Angeles,Rail,Automotive,8079.63,422.15,3.14,3,Hurricane,0.711,50.51,1
SC-10097,8/12/2024,Rotterdam,Hamburg,Air,Textiles,6699.34,131.94,3.58,5.6,Hurricane,0.799,3.61,1
SC-10098,12/2/2025,Antwerp,Busan,Air,Electronics,868.58,211.43,2,6.7,Hurricane,0.974,0.93,1
SC-10099,11/28/2024,Hamburg,Marseille,Road,Pharmaceuticals,2064.43,20.92,1.75,0.3,Clear,0.596,0.99,0
SC-10100,2/27/2024,Dubai,Shanghai,Air,Electronics,955.72,225.09,4.41,4.7,Fog,0.953,0.6,0
SC-10101,8/22/2024,Los Angeles,Antwerp,Sea,Textiles,9727.95,289.23,3.24,0.6,Clear,0.527,13.93,1
SC-10102,2/2/2024,Los Angeles,Rotterdam,Air,Textiles,5058.16,285.88,4.44,1.9,Storm,0.654,0.78,0
SC-10103,11/19/2024,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,2.31,5.6,Rain,0.644,17.18,0
SC-10104,2/14/2025,Hamburg,Busan,Rail,Textiles,13659.71,158.45,3.52,8.7,Hurricane,0.813,108.49,1
SC-10105,10/1/2024,Dubai,Marseille,Road,Pharmaceuticals,4114.74,54.21,1.93,8.8,Clear,0.566,3.39,1
SC-10106,3/8/2024,Rotterdam,Dubai,Sea,Electronics,6450.55,184.03,2.06,0.7,Clear,0.941,9.61,0
SC-10107,8/4/2024,Rotterdam,Hamburg,Sea,Automotive,11455.49,50.65,2.89,4.2,Fog,0.914,28.85,0
SC-10108,8/3/2025,Dubai,Shanghai,Air,Perishables,3817.57,383.53,2.25,5.8,Hurricane,0.826,3.01,1
SC-10109,11/18/2024,Shanghai,Marseille,Road,Automotive,1616.21,483.17,1.75,1.5,Rain,0.729,1.59,0
SC-10110,8/5/2024,Dubai,Singapore,Air,Textiles,4701.4,485.07,2.07,7.7,Fog,0.966,0.82,1
SC-10111,11/2/2025,Busan,Rotterdam,Air,Textiles,2837.71,432.67,1.32,7.4,Clear,0.915,0.5,1
SC-10112,5/26/2025,Antwerp,Dubai,Road,Pharmaceuticals,13980.62,300.8,3.52,9,Clear,0.75,12.52,1
SC-10113,2/9/2025,Hamburg,Dubai,Air,Textiles,12217.75,350.73,2.82,0.1,Rain,0.851,0.61,0
SC-10114,10/20/2025,Antwerp,Dubai,Air,Textiles,9684.35,143.32,1.51,2.2,Clear,0.783,0.7,0
SC-10115,4/14/2025,Singapore,Dubai,Air,Perishables,13136.18,315.75,1.77,8.3,Fog,0.794,0.99,1
SC-10116,5/26/2024,Shanghai,Los Angeles,Rail,Automotive,12153.25,228.37,1.54,6.7,Rain,0.665,14.04,1
SC-10117,9/28/2024,Singapore,Hamburg,Sea,Electronics,3205.27,241.53,3.22,8.9,Fog,0.731,9.81,1
SC-10118,5/22/2024,Antwerp,Los Angeles,Sea,Textiles,13442.11,379.13,1.51,0.6,Rain,0.539,24.04,0
SC-10119,9/9/2024,Rotterdam,Antwerp,Air,Automotive,8320.46,141.68,3.69,6,Fog,0.679,2.04,1
SC-10120,7/28/2025,Singapore,Shanghai,Rail,Perishables,12207.88,159.7,1.27,5.7,Clear,0.848,11.27,0
SC-10121,7/5/2025,Singapore,Shanghai,Road,Pharmaceuticals,13493.32,462.4,2.02,0.4,Fog,0.977,12.3,0
